Date,Carbon Emissions (tons),Carbon Offsets (tons)
2023-09-01,5.56,2.85
2023-09-02,8.01,0.85
2023-09-03,1.51,2.08
2023-09-04,1.63,1.99
2023-09-05,7.32,1.34
2023-09-06,2.18,4.37
2023-09-07,3.31,5.32
2023-09-08,2.22,5.61
2023-09-09,2.07,2.21
2023-09-10,3.43,3.43
2023-09-11,4.56,3.27
2023-09-12,4.83,7.32
2023-09-13,1.55,4.96
2023-09-14,3.27,7.89
2023-09-15,4.18,3.86
2023-09-16,2.33,6.72
2023-09-17,5.45,7.21
2023-09-18,1.66,2.3
2023-09-19,3.78,3.86
2023-09-20,2.41,2.84
2023-09-21,1.92,6.42
2023-09-22,6.27,5.0
2023-09-23,2.95,3.81
2023-09-24,7.66,7.53
2023-09-25,4.05,7.59
2023-09-26,6.68,0.82
2023-09-27,6.57,5.75
2023-09-28,5.72,2.69
2023-09-29,1.85,3.37
2023-09-30,7.58,7.02
2023-10-01,5.98,5.68
2023-10-02,9.04,1.29
2023-10-03,5.05,4.69
2023-10-04,9.94,2.73
2023-10-05,1.03,2.4
2023-10-06,9.52,5.44
2023-10-07,8.3,6.58
2023-10-08,6.33,7.02
2023-10-09,6.69,7.3
2023-10-10,9.24,6.78
2023-10-11,9.78,7.53
2023-10-12,1.17,2.23
2023-10-13,5.92,5.37
2023-10-14,8.56,3.09
2023-10-15,7.75,0.89
2023-10-16,4.23,4.93
2023-10-17,1.05,7.55
2023-10-18,7.55,2.0
2023-10-19,9.22,6.38
2023-10-20,7.58,6.49
2023-10-21,6.88,2.4
2023-10-22,7.75,6.1
2023-10-23,9.91,3.65
2023-10-24,3.02,4.93
2023-10-25,1.61,5.84
2023-10-26,9.34,0.59
2023-10-27,3.74,5.13
2023-10-28,6.18,5.05
2023-10-29,9.16,2.39
2023-10-30,9.08,1.76
2023-10-31,6.76,4.06
2023-11-01,1.58,5.08
2023-11-02,2.15,3.15
2023-11-03,4.39,5.26
2023-11-04,4.19,4.88
2023-11-05,7.63,1.18
2023-11-06,7.43,7.22
2023-11-07,6.61,7.31
2023-11-08,1.52,5.12
2023-11-09,4.13,4.16
2023-11-10,2.47,5.41
2023-11-11,6.63,1.46
2023-11-12,5.45,5.0
2023-11-13,8.82,2.93
2023-11-14,2.51,5.16
2023-11-15,4.79,5.2
2023-11-16,8.25,0.96
2023-11-17,7.89,3.39
2023-11-18,7.98,3.31
2023-11-19,6.03,1.82
2023-11-20,9.8,1.21
2023-11-21,9.16,1.98
2023-11-22,3.44,2.98
2023-11-23,8.27,6.04
2023-11-24,4.07,4.33
2023-11-25,6.01,3.61
2023-11-26,7.58,3.74
2023-11-27,6.68,0.75
2023-11-28,6.27,2.57
2023-11-29,8.1,4.43
2023-11-30,5.31,6.27
2023-12-01,3.66,2.34
2023-12-02,9.57,1.0
2023-12-03,5.16,3.19
2023-12-04,2.41,2.83
2023-12-05,8.5,5.42
2023-12-06,5.93,7.87
2023-12-07,9.29,2.46
2023-12-08,5.89,4.73
2023-12-09,4.33,7.58
2023-12-10,9.71,6.16
2023-12-11,5.08,4.37
2023-12-12,7.34,2.3
2023-12-13,4.93,3.77
2023-12-14,7.77,3.96
2023-12-15,7.33,1.26
2023-12-16,3.68,2.63
2023-12-17,6.75,4.23
2023-12-18,4.52,4.93
2023-12-19,9.87,0.64
2023-12-20,3.17,2.03
2023-12-21,7.38,0.82
2023-12-22,5.57,7.9
2023-12-23,6.68,7.15
2023-12-24,7.12,7.56
2023-12-25,1.62,4.47
2023-12-26,4.88,3.39
2023-12-27,6.35,1.97
2023-12-28,1.02,2.19
2023-12-29,7.51,5.76
2023-12-30,9.41,6.08
2023-12-31,7.32,7.52
2024-01-01,9.02,1.33
2024-01-02,9.39,2.61
2024-01-03,3.27,5.75
2024-01-04,4.25,2.03
2024-01-05,1.33,7.52
2024-01-06,5.52,3.68
2024-01-07,1.58,5.1
2024-01-08,2.75,7.68
2024-01-09,6.27,1.05
2024-01-10,2.93,6.91
2024-01-11,8.82,5.1
2024-01-12,7.11,3.09
2024-01-13,6.28,5.62
2024-01-14,2.38,1.74
2024-01-15,7.14,7.83
2024-01-16,8.64,1.56
2024-01-17,3.82,0.87
2024-01-18,3.62,5.73
2024-01-19,7.51,2.69
2024-01-20,1.63,5.34
2024-01-21,8.77,7.54
2024-01-22,9.75,4.93
2024-01-23,2.83,2.92
2024-01-24,1.67,5.97
2024-01-25,8.46,4.46
2024-01-26,2.79,2.97
2024-01-27,2.62,7.07
2024-01-28,1.55,3.16
2024-01-29,9.81,1.17
2024-01-30,3.93,4.66
2024-01-31,2.53,6.77
2024-02-01,7.33,5.19
2024-02-02,9.42,0.98
2024-02-03,4.37,6.52
2024-02-04,1.83,0.95
2024-02-05,6.7,6.02
2024-02-06,8.43,5.46
2024-02-07,2.41,6.78
2024-02-08,1.34,6.25
2024-02-09,2.18,3.5
2024-02-10,4.82,7.6
2024-02-11,4.88,2.68
2024-02-12,8.37,3.72
2024-02-13,4.73,6.02
2024-02-14,3.93,1.12
2024-02-15,7.34,3.05
2024-02-16,8.05,1.75
2024-02-17,3.05,4.84
2024-02-18,5.08,4.32
2024-02-19,5.74,7.86
2024-02-20,9.23,7.21
2024-02-21,8.32,6.95
2024-02-22,2.24,2.43
2024-02-23,9.41,6.39
2024-02-24,3.76,7.73
2024-02-25,7.33,1.49
2024-02-26,5.99,4.98
2024-02-27,5.46,4.51
2024-02-28,9.14,2.63
2024-02-29,3.38,3.65
2024-03-01,1.43,1.1
2024-03-02,2.32,7.89
2024-03-03,1.44,2.56
2024-03-04,3.38,7.0
2024-03-05,3.1,1.43
2024-03-06,2.99,7.73
2024-03-07,9.05,4.78
2024-03-08,3.57,5.73
2024-03-09,2.34,7.67
2024-03-10,7.55,5.23
2024-03-11,2.62,6.61
2024-03-12,5.44,5.27
2024-03-13,1.01,6.45
2024-03-14,5.36,2.13
2024-03-15,7.9,7.32
2024-03-16,2.98,4.29
2024-03-17,8.66,5.83
2024-03-18,6.14,1.5
2024-03-19,4.19,6.25
2024-03-20,7.04,3.06
2024-03-21,9.49,5.64
2024-03-22,1.58,2.22
2024-03-23,3.2,3.66
2024-03-24,8.39,7.99
2024-03-25,8.85,5.66
2024-03-26,4.21,4.55
2024-03-27,4.16,6.19
2024-03-28,5.24,7.0
2024-03-29,7.91,6.46
2024-03-30,6.34,4.94
2024-03-31,2.31,1.54
2024-04-01,2.95,2.1
2024-04-02,1.63,1.81
2024-04-03,4.21,3.43
2024-04-04,8.89,6.82
2024-04-05,3.66,5.74
2024-04-06,8.08,6.68
2024-04-07,9.28,2.49
2024-04-08,5.48,1.52
2024-04-09,6.38,7.32
2024-04-10,3.73,2.7
2024-04-11,5.68,3.37
2024-04-12,8.77,2.92
2024-04-13,8.4,3.08
2024-04-14,2.0,2.27
2024-04-15,9.32,1.05
2024-04-16,3.75,6.13
2024-04-17,5.27,2.83
2024-04-18,2.68,6.69
2024-04-19,6.88,4.54
2024-04-20,8.33,3.52
2024-04-21,8.09,6.81
2024-04-22,5.25,1.86
2024-04-23,6.55,2.04
2024-04-24,5.34,5.38
2024-04-25,7.89,6.66
2024-04-26,5.42,5.38
2024-04-27,7.53,0.54
2024-04-28,5.78,7.54
2024-04-29,2.28,7.3
2024-04-30,5.17,5.39
2024-05-01,1.58,6.19
2024-05-02,2.12,4.82
2024-05-03,4.58,7.05
2024-05-04,3.38,1.11
2024-05-05,8.92,4.98
2024-05-06,3.53,4.4
2024-05-07,6.57,6.65
2024-05-08,9.53,6.98
2024-05-09,6.15,2.49
2024-05-10,9.41,1.64
2024-05-11,6.52,2.62
2024-05-12,3.37,3.01
2024-05-13,3.24,6.29
2024-05-14,5.33,4.51
2024-05-15,7.35,7.97
2024-05-16,5.86,1.23
2024-05-17,4.24,3.71
2024-05-18,9.31,1.86
2024-05-19,2.21,2.92
2024-05-20,5.05,2.07
2024-05-21,7.67,4.54
2024-05-22,4.39,6.33
2024-05-23,6.76,1.39
2024-05-24,8.03,1.02
2024-05-25,2.91,4.01
2024-05-26,6.19,4.51
2024-05-27,8.61,7.35
2024-05-28,2.98,5.2
2024-05-29,5.59,4.32
2024-05-30,2.12,2.89
2024-05-31,8.23,3.29
2024-06-01,7.06,4.6
2024-06-02,6.14,6.96
2024-06-03,1.1,7.15
2024-06-04,7.27,2.16
2024-06-05,6.7,2.81
2024-06-06,9.08,7.07
2024-06-07,9.42,1.5
2024-06-08,6.4,6.87
2024-06-09,4.16,7.35
2024-06-10,6.29,6.7
2024-06-11,1.38,4.91
2024-06-12,7.42,6.77
2024-06-13,2.79,0.67
2024-06-14,8.47,6.86
2024-06-15,8.31,5.78
2024-06-16,7.8,1.85
2024-06-17,8.45,2.0
2024-06-18,3.42,4.65
2024-06-19,6.84,5.53
2024-06-20,6.7,5.73
2024-06-21,2.43,7.49
2024-06-22,3.45,7.76
2024-06-23,5.37,7.05
2024-06-24,6.72,4.29
2024-06-25,3.29,0.53
2024-06-26,1.12,0.83
2024-06-27,6.23,6.79
2024-06-28,6.87,4.77
2024-06-29,7.66,5.43
2024-06-30,2.57,3.52
2024-07-01,1.29,7.64
2024-07-02,6.61,7.68
2024-07-03,5.78,5.65
2024-07-04,9.93,7.59
2024-07-05,6.15,7.12
2024-07-06,7.06,6.81
2024-07-07,2.48,2.32
2024-07-08,1.81,4.11
2024-07-09,9.66,2.17
2024-07-10,1.75,0.99
2024-07-11,4.56,6.33
2024-07-12,9.54,5.16
2024-07-13,7.12,6.94
2024-07-14,2.11,1.54
2024-07-15,1.53,7.14
2024-07-16,5.61,0.65
2024-07-17,1.11,4.52
2024-07-18,3.05,7.03
2024-07-19,4.75,3.98
2024-07-20,9.92,5.69
2024-07-21,9.4,7.02
2024-07-22,4.06,3.47
2024-07-23,6.51,5.05
2024-07-24,8.11,5.82
2024-07-25,9.59,5.41
2024-07-26,1.99,3.95
2024-07-27,7.62,3.35
2024-07-28,4.54,7.96
2024-07-29,7.32,1.86
2024-07-30,4.04,4.94
2024-07-31,6.04,7.19
2024-08-01,5.86,6.29
2024-08-02,3.27,4.12
2024-08-03,3.32,3.53
2024-08-04,5.04,1.84
2024-08-05,2.38,2.78
2024-08-06,1.94,1.54
2024-08-07,8.03,7.87
2024-08-08,2.6,1.21
2024-08-09,3.8,3.36
2024-08-10,6.18,6.95
2024-08-11,5.48,3.71
2024-08-12,7.71,2.88
2024-08-13,7.04,7.26
2024-08-14,2.35,2.59
2024-08-15,9.98,3.47
2024-08-16,8.94,1.65
2024-08-17,9.73,3.23
2024-08-18,4.04,6.89
2024-08-19,4.23,3.22
2024-08-20,7.97,6.18
2024-08-21,9.89,5.12
2024-08-22,6.43,1.5
2024-08-23,5.91,1.23
2024-08-24,5.7,0.64
2024-08-25,8.83,5.15
2024-08-26,1.72,6.01
2024-08-27,1.92,2.4
2024-08-28,1.84,4.69
2024-08-29,7.2,3.75
2024-08-30,3.18,2.79
2024-08-31,2.88,0.65
2024-09-01,7.55,3.23
2024-09-02,4.02,1.75
2024-09-03,4.31,4.29
2024-09-04,2.95,3.36
2024-09-05,6.15,6.07
2024-09-06,7.88,6.67
2024-09-07,6.96,6.65
2024-09-08,1.91,4.59
2024-09-09,7.37,4.46
2024-09-10,2.92,7.0
2024-09-11,5.94,3.3
2024-09-12,6.2,1.47
2024-09-13,8.78,2.08
2024-09-14,4.5,5.52
2024-09-15,2.25,7.21
2024-09-16,2.29,6.78
2024-09-17,2.29,5.24
2024-09-18,6.67,2.78
2024-09-19,3.48,0.78
2024-09-20,5.92,0.97
2024-09-21,9.59,1.08
2024-09-22,3.28,5.67
2024-09-23,1.03,7.55
2024-09-24,6.78,7.11
2024-09-25,7.9,1.54
2024-09-26,8.1,4.1
2024-09-27,1.3,1.88
2024-09-28,4.02,4.53
2024-09-29,9.58,3.19
2024-09-30,6.82,2.89
2024-10-01,3.23,0.82
2024-10-02,2.58,6.68
2024-10-03,8.93,4.82
2024-10-04,7.28,2.96
2024-10-05,1.33,5.98
2024-10-06,5.42,1.47
2024-10-07,9.46,4.93
2024-10-08,4.35,5.22
2024-10-09,5.64,3.23
2024-10-10,7.68,5.81
2024-10-11,5.52,1.89
2024-10-12,3.7,0.52
2024-10-13,2.78,2.98
2024-10-14,6.59,7.17
2024-10-15,6.18,5.48
2024-10-16,7.1,4.97
2024-10-17,8.83,7.21
2024-10-18,9.97,4.87
2024-10-19,2.06,0.83
2024-10-20,9.61,1.65
2024-10-21,4.77,2.25
2024-10-22,2.01,4.05
2024-10-23,3.56,3.34
2024-10-24,7.14,3.03
2024-10-25,1.28,0.94
2024-10-26,6.51,2.96
2024-10-27,9.5,4.32
2024-10-28,3.32,0.58
2024-10-29,7.11,5.03
2024-10-30,4.7,1.0
2024-10-31,4.9,2.48
2024-11-01,9.12,1.85
2024-11-02,3.77,7.41
2024-11-03,6.95,3.15
2024-11-04,3.23,4.17
2024-11-05,1.84,2.9
2024-11-06,6.98,3.85
2024-11-07,6.28,5.87
2024-11-08,7.15,4.91
2024-11-09,1.25,3.06
2024-11-10,4.69,4.84
2024-11-11,4.69,6.1
2024-11-12,9.95,6.87
2024-11-13,6.93,6.47
2024-11-14,1.99,4.25
2024-11-15,5.89,7.74
2024-11-16,7.06,0.61
2024-11-17,2.97,1.55
2024-11-18,2.08,1.23
2024-11-19,2.82,7.52
2024-11-20,6.93,5.0
2024-11-21,4.69,3.56
2024-11-22,5.89,1.13
2024-11-23,6.64,0.63
2024-11-24,4.07,6.93
2024-11-25,8.25,4.56
2024-11-26,6.03,7.46
2024-11-27,8.94,7.39
2024-11-28,3.2,6.85
2024-11-29,3.37,1.2
2024-11-30,2.84,5.32
2024-12-01,9.55,4.09
2024-12-02,4.0,3.59
2024-12-03,7.8,4.41
2024-12-04,7.94,3.31
2024-12-05,1.06,2.36
2024-12-06,8.03,7.05
2024-12-07,6.69,2.1
2024-12-08,9.42,7.52
2024-12-09,2.14,1.14
2024-12-10,9.59,7.3
2024-12-11,6.27,6.99
2024-12-12,2.96,4.87
2024-12-13,3.47,7.41
2024-12-14,8.51,0.7
2024-12-15,5.95,5.07
2024-12-16,9.39,7.71
2024-12-17,3.74,6.42
2024-12-18,7.9,2.66
2024-12-19,7.23,0.58
2024-12-20,9.97,1.14
2024-12-21,9.39,3.24
2024-12-22,5.54,5.03
2024-12-23,4.39,2.59
2024-12-24,4.47,0.52
2024-12-25,8.81,7.69
2024-12-26,6.74,1.29
2024-12-27,5.46,7.05
2024-12-28,6.68,6.44
2024-12-29,8.6,1.25
2024-12-30,8.29,2.91
2024-12-31,1.12,4.43
2025-01-01,5.41,5.51
2025-01-02,6.4,6.57
2025-01-03,4.67,7.17
2025-01-04,9.53,2.3
2025-01-05,6.62,1.84
2025-01-06,7.59,0.98
2025-01-07,4.76,4.41
2025-01-08,1.83,4.39
2025-01-09,4.28,7.37
2025-01-10,1.09,3.15
2025-01-11,2.19,3.38
2025-01-12,3.96,2.05
2025-01-13,2.35,2.72
2025-01-14,8.21,6.73
2025-01-15,8.39,1.0
2025-01-16,3.33,3.62
2025-01-17,1.4,3.36
2025-01-18,2.57,6.32
2025-01-19,8.54,5.2
2025-01-20,1.22,3.0
2025-01-21,7.92,5.2
2025-01-22,5.87,7.12
2025-01-23,6.22,0.94
2025-01-24,1.39,3.78
2025-01-25,8.41,7.32
2025-01-26,8.32,7.16
2025-01-27,2.94,5.06
2025-01-28,2.61,4.79
2025-01-29,1.71,2.62
2025-01-30,9.52,1.34
2025-01-31,8.45,2.91
2025-02-01,7.43,3.93
2025-02-02,9.19,7.81
2025-02-03,2.51,4.69
2025-02-04,9.73,7.1
2025-02-05,3.39,4.3
2025-02-06,5.08,7.95
2025-02-07,2.0,7.59
2025-02-08,4.93,3.59
2025-02-09,8.0,7.38
2025-02-10,2.95,2.16
2025-02-11,3.12,4.39
2025-02-12,8.14,6.07
2025-02-13,9.31,4.93
2025-02-14,1.4,2.74
2025-02-15,4.89,4.23
2025-02-16,1.35,1.23
2025-02-17,7.16,3.92
2025-02-18,5.52,6.51
2025-02-19,6.66,4.26
2025-02-20,4.16,4.33
2025-02-21,8.26,6.44
2025-02-22,8.07,4.6
2025-02-23,9.46,1.34
2025-02-24,9.7,1.29
2025-02-25,2.37,5.07
2025-02-26,2.46,1.67
2025-02-27,4.94,6.85
2025-02-28,1.28,6.02
2025-03-01,4.56,4.27
2025-03-02,4.52,5.04
2025-03-03,2.56,2.37
2025-03-04,3.66,4.59
2025-03-05,6.31,1.69
2025-03-06,2.63,1.1
2025-03-07,6.84,6.33
2025-03-08,1.19,2.16
2025-03-09,6.57,5.41
2025-03-10,9.22,5.89
2025-03-11,6.47,3.12
2025-03-12,4.68,4.37
2025-03-13,7.05,4.86
2025-03-14,6.89,7.97
2025-03-15,9.57,0.85
2025-03-16,1.88,4.36
2025-03-17,6.19,2.69
2025-03-18,1.46,6.3
2025-03-19,9.78,2.5
2025-03-20,8.85,5.33
2025-03-21,8.29,6.01
2025-03-22,1.68,6.58
2025-03-23,6.61,1.24
2025-03-24,4.7,0.89
2025-03-25,1.87,6.11
2025-03-26,1.08,1.58
2025-03-27,6.48,4.45
2025-03-28,4.79,4.8
2025-03-29,2.62,3.4
2025-03-30,8.93,5.59
2025-03-31,4.49,4.77
2025-04-01,9.29,7.04
2025-04-02,3.51,5.29
2025-04-03,2.17,5.21
2025-04-04,6.5,7.29
2025-04-05,6.78,1.62
2025-04-06,6.14,5.27
2025-04-07,8.98,2.99
2025-04-08,4.46,5.45
2025-04-09,8.69,3.84
2025-04-10,4.57,6.81
2025-04-11,8.32,6.56
2025-04-12,9.78,7.02
2025-04-13,1.84,6.66
2025-04-14,5.73,6.33
2025-04-15,4.28,6.2
2025-04-16,5.9,7.07
2025-04-17,8.78,4.57
2025-04-18,9.37,5.75
2025-04-19,1.65,6.93
2025-04-20,8.75,3.67
2025-04-21,5.43,5.04
2025-04-22,8.89,1.18
2025-04-23,4.74,5.11
2025-04-24,7.32,6.94
2025-04-25,6.72,1.04
2025-04-26,4.75,5.05
2025-04-27,2.63,3.43
2025-04-28,9.44,5.96
2025-04-29,6.57,6.48
2025-04-30,5.49,4.91
2025-05-01,4.09,5.68
2025-05-02,8.39,5.75
2025-05-03,6.95,1.53
2025-05-04,8.27,1.61
2025-05-05,8.34,7.03
2025-05-06,7.65,5.43
2025-05-07,4.81,5.58
2025-05-08,9.84,5.63
2025-05-09,5.19,2.83
2025-05-10,6.28,3.75
2025-05-11,9.5,0.95
2025-05-12,5.62,2.66
2025-05-13,3.29,5.23
2025-05-14,7.22,7.21
2025-05-15,3.3,4.85
2025-05-16,9.32,5.36
2025-05-17,6.14,5.23
2025-05-18,7.7,6.15
